site,bird,body.mass,wing.length,wing.area,aspect.ratio,hover.frequency,hover.amplitude,mass.lifted,lift.frequency,lift.amplitude
Rside,trans_01,4.4,49.026,1270.923,7.585,40.32,162.72,6.05,47.62,181.2
Rside,trans_02,4.48,49.914,1306.451,7.634,38.76,152.31,5.66,47.62,176.46
Rside,trans_03,4.09,45.76,1051.272,7.977,38.83,152.52,6.44,47.62,184.56
Rside,trans_04,4.82,51.368,1377.612,7.666,38.46,144.78,7.24,48.46,192.31
Rside,trans_05,5.58,49.114,1236.092,7.806,41.67,166.43,5.66,50.54,184.12
Rside,trans_06,4.58,49.866,1244.506,7.993,39.62,149.53,6.75,48.69,180.75
Rside,trans_07,4.59,47.869,1199.698,7.642,39.65,149.1,6.3,46.51,189.6
Rside,trans_08,5.61,46.803,1131.214,7.749,42.02,154.76,6,49.08,182.88
Van,gas_09,4.5,51.623,1495.753,7.127,45.35,141.74,7.22,50.22,197.51
Van,gas_10,4.37,52.871,1428.777,7.833,36.52,147.55,4.88,48.49,177.73
Van,gas_11,4.62,55.445,1620.07,7.593,41.1,130.87,5.66,50.15,179.21
Van,gas_12,4.63,54.228,1653.012,7.13,43.57,131.47,5.66,52.44,183.98
Van,gas_13,4.23,52.549,1518.295,7.278,38.39,156.73,6.44,50.85,187.47
Van,gas_14,4.75,53.641,1524.945,7.557,40.7,153.6,5.27,47.75,186.77
Van,gas_15,4.44,52.132,1483.544,7.345,41.84,139.71,6.44,51.55,187.54
Van,gas_16,4.69,53.521,1559.219,7.366,41.28,143.36,6.44,48.12,185.28
