bird,trialID,videoID,performance.metric,solo.competition,treatment,no.maneuvers,avg.performance,wing.length,wing.area,aspect.ratio,body.mass,mass.lifted,trial.day.of.year,capture.day.of.year,days.after
gas_09,gas_09_comp_air,163920,vel,comp,air,810,1.630470172,51.623,1495.753,7.127,4.5,7.22,51,24,27
gas_09,gas_09_comp_hel,111200,vel,comp,hel,1136,1.632507423,51.623,1495.753,7.127,4.5,7.22,59,24,35
gas_09,gas_09_comp_nit,165423,vel,comp,nit,1161,1.708828505,51.623,1495.753,7.127,4.5,7.22,54,24,30
gas_09,gas_09_solo_air,143321,vel,solo,air,831,1.709068107,51.623,1495.753,7.127,4.5,7.22,51,24,27
gas_09,gas_09_solo_hel,101810,vel,solo,hel,545,1.679896909,51.623,1495.753,7.127,4.5,7.22,55,24,31
gas_09,gas_09_solo_nit,120052,vel,solo,nit,526,1.948489383,51.623,1495.753,7.127,4.5,7.22,52,24,28
gas_10,gas_10_comp_air,163920,vel,comp,air,933,1.394872184,52.871,1428.777,7.833,4.37,4.88,51,-20,71
gas_10,gas_10_comp_hel,122813,vel,comp,hel,462,1.753068982,52.871,1428.777,7.833,4.37,4.88,56,-20,76
gas_10,gas_10_comp_nit,125257,vel,comp,nit,614,1.743682331,52.871,1428.777,7.833,4.37,4.88,60,-20,80
gas_10,gas_10_solo_air,150149,vel,solo,air,1122,1.465316362,52.871,1428.777,7.833,4.37,4.88,56,-20,76
gas_10,gas_10_solo_hel,175929,vel,solo,hel,1251,1.880250782,52.871,1428.777,7.833,4.37,4.88,52,-20,72
gas_10,gas_10_solo_nit,95516,vel,solo,nit,498,1.989959362,52.871,1428.777,7.833,4.37,4.88,57,-20,77
gas_11,gas_11_comp_air,94818,vel,comp,air,3097,1.583581401,55.445,1620.07,7.593,4.62,5.66,61,51,10
gas_11,gas_11_comp_hel,122813,vel,comp,hel,1283,1.38564169,55.445,1620.07,7.593,4.62,5.66,56,51,5
gas_11,gas_11_comp_nit,165423,vel,comp,nit,4003,1.626493412,55.445,1620.07,7.593,4.62,5.66,54,51,3
gas_11,gas_11_solo_air,102128,vel,solo,air,3055,1.696862822,55.445,1620.07,7.593,4.62,5.66,58,51,7
gas_11,gas_11_solo_hel,101822,vel,solo,hel,2013,1.397323841,55.445,1620.07,7.593,4.62,5.66,56,51,5
gas_11,gas_11_solo_nit,144922,vel,solo,nit,2090,1.714795392,55.445,1620.07,7.593,4.62,5.66,54,51,3
