bird,trialID,videoID,performance.metric,solo.competition,treatment,no.maneuvers,avg.performance,wing.length,wing.area,aspect.ratio,body.mass,mass.lifted,capture.group,capture.day.of.year,trial.day.of.year,days.after
trans_01,trans_01_comp_air,151755,arc_cent_accel,comp,sea level,149,6.333255233,49.026,1270.923,7.585,4.4,6.05,group1,160,293,133
trans_01,trans_01_comp_air,152503,arc_cent_accel,comp,sea level,78,6.721440781,49.026,1270.923,7.585,4.4,6.05,group1,160,303,143
trans_01,trans_01_comp_elev,120448,arc_cent_accel,comp,elev,89,4.883506008,49.026,1270.923,7.585,4.4,6.05,group1,160,248,88
trans_01,trans_01_comp_elev,165913,arc_cent_accel,comp,elev,44,4.197276002,49.026,1270.923,7.585,4.4,6.05,group1,160,249,89
trans_01,trans_01_solo_air,111843,arc_cent_accel,solo,sea level,98,5.686513712,49.026,1270.923,7.585,4.4,6.05,group1,160,293,133
trans_01,trans_01_solo_elev,111629,arc_cent_accel,solo,elev,16,3.553084957,49.026,1270.923,7.585,4.4,6.05,group1,160,239,79
trans_02,trans_02_comp_air,111439,arc_cent_accel,comp,sea level,178,7.579317268,49.914,1306.451,7.634,4.48,5.66,group1,168,294,126
trans_02,trans_02_comp_air,164959,arc_cent_accel,comp,sea level,180,7.400136882,49.914,1306.451,7.634,4.48,5.66,group1,168,304,136
trans_02,trans_02_comp_elev,115234,arc_cent_accel,comp,elev,75,6.495359778,49.914,1306.451,7.634,4.48,5.66,group1,168,246,78
trans_02,trans_02_comp_elev,165519,arc_cent_accel,comp,elev,14,5.606364192,49.914,1306.451,7.634,4.48,5.66,group1,168,247,79
trans_02,trans_02_solo_air,173855,arc_cent_accel,solo,sea level,31,5.044277632,49.914,1306.451,7.634,4.48,5.66,group1,168,292,124
trans_02,trans_02_solo_elev,135846,arc_cent_accel,solo,elev,21,4.68412117,49.914,1306.451,7.634,4.48,5.66,group1,168,239,71
trans_03,trans_03_comp_air,120753,arc_cent_accel,comp,sea level,199,7.593697069,45.76,1051.272,7.977,4.09,6.44,group1,168,300,132
trans_03,trans_03_comp_air,155232,arc_cent_accel,comp,sea level,77,6.861476046,45.76,1051.272,7.977,4.09,6.44,group1,168,299,131
trans_03,trans_03_comp_elev,155833,arc_cent_accel,comp,elev,39,5.98063282,45.76,1051.272,7.977,4.09,6.44,group1,168,246,78
trans_03,trans_03_comp_elev,165913,arc_cent_accel,comp,elev,82,5.368505833,45.76,1051.272,7.977,4.09,6.44,group1,168,249,81
trans_03,trans_03_solo_air,165106,arc_cent_accel,solo,sea level,181,6.272793084,45.76,1051.272,7.977,4.09,6.44,group1,168,298,130
trans_03,trans_03_solo_elev,162206,arc_cent_accel,solo,elev,38,4.614338956,45.76,1051.272,7.977,4.09,6.44,group1,168,239,71
trans_04,trans_04_comp_air,120753,arc_cent_accel,comp,sea level,180,9.258846821,51.368,1377.612,7.666,4.82,7.24,group2,226,300,74
trans_04,trans_04_comp_air,151240,arc_cent_accel,comp,sea level,209,9.011321278,51.368,1377.612,7.666,4.82,7.24,group2,226,296,70
trans_04,trans_04_comp_elev,102513,arc_cent_accel,comp,elev,187,5.495470927,51.368,1377.612,7.666,4.82,7.24,group2,226,247,21
trans_04,trans_04_comp_elev,165519,arc_cent_accel,comp,elev,112,6.494304534,51.368,1377.612,7.666,4.82,7.24,group2,226,247,21
trans_04,trans_04_solo_air,153909,arc_cent_accel,solo,sea level,236,5.962240778,51.368,1377.612,7.666,4.82,7.24,group2,226,288,62
trans_04,trans_04_solo_elev,90720,arc_cent_accel,solo,elev,90,6.160561848,51.368,1377.612,7.666,4.82,7.24,group2,226,244,18
trans_05,trans_05_comp_air,151755,arc_cent_accel,comp,sea level,138,7.816759576,49.114,1236.092,7.806,5.58,5.66,group2,226,293,67
trans_05,trans_05_comp_air,164959,arc_cent_accel,comp,sea level,65,7.377044826,49.114,1236.092,7.806,5.58,5.66,group2,226,304,78
