birdID,treatmentID,bird.treatment.block,grating.orientation,grating.period,wall.speeds,left.wall.speed,right.wall.speed,replicate,to.from.feeder,avg.y.position,avg.z.position,avg.x.velocity
195,1_9.2_1_9.2_-0.34_0,195_1_9.2_1_9.2_-0.34_0,ver,18.4,L -0.34 R 0,-0.34,0,1,from,0.08213947,1.485147684,2.398481306
196,1_9.2_1_9.2_-0.34_0,196_1_9.2_1_9.2_-0.34_0,ver,18.4,L -0.34 R 0,-0.34,0,1,from,0.036404693,1.506544788,1.724642658
197,1_9.2_1_9.2_-0.34_0,197_1_9.2_1_9.2_-0.34_0,ver,18.4,L -0.34 R 0,-0.34,0,1,from,0.035772356,1.529470739,1.743639586
198,1_9.2_1_9.2_-0.34_0,198_1_9.2_1_9.2_-0.34_0,ver,18.4,L -0.34 R 0,-0.34,0,1,from,0.043654718,1.536753195,1.992249105
199,1_9.2_1_9.2_-0.34_0,199_1_9.2_1_9.2_-0.34_0,ver,18.4,L -0.34 R 0,-0.34,0,1,from,0.091688755,1.52475816,1.21032948
201,1_9.2_1_9.2_-0.34_0,201_1_9.2_1_9.2_-0.34_0,ver,18.4,L -0.34 R 0,-0.34,0,1,from,0.037389929,1.518932288,1.8323721
195,1_9.2_1_9.2_0_-0.34,195_1_9.2_1_9.2_0_-0.34,ver,18.4,L 0 R -0.34,0,-0.34,1,from,0.030780089,1.509337469,1.938081125
196,1_9.2_1_9.2_0_-0.34,196_1_9.2_1_9.2_0_-0.34,ver,18.4,L 0 R -0.34,0,-0.34,1,from,0.046391493,1.506612769,1.730175388
197,1_9.2_1_9.2_0_-0.34,197_1_9.2_1_9.2_0_-0.34,ver,18.4,L 0 R -0.34,0,-0.34,1,from,0.10780686,1.542878332,1.771342072
198,1_9.2_1_9.2_0_-0.34,198_1_9.2_1_9.2_0_-0.34,ver,18.4,L 0 R -0.34,0,-0.34,1,from,0.087921169,1.534827568,1.725387036
199,1_9.2_1_9.2_0_-0.34,199_1_9.2_1_9.2_0_-0.34,ver,18.4,L 0 R -0.34,0,-0.34,1,from,0.082421467,1.51432383,1.669933663
201,1_9.2_1_9.2_0_-0.34,201_1_9.2_1_9.2_0_-0.34,ver,18.4,L 0 R -0.34,0,-0.34,1,from,0.008282061,1.537647875,2.351083351
195,1_9.2_1_9.2_0_0,195_1_9.2_1_9.2_0_0,ver,18.4,L 0 R 0,0,0,1,from,0.046946067,1.506755827,2.40966977
196,1_9.2_1_9.2_0_0,196_1_9.2_1_9.2_0_0,ver,18.4,L 0 R 0,0,0,1,from,0.110087306,1.519438772,2.0530289
197,1_9.2_1_9.2_0_0,197_1_9.2_1_9.2_0_0,ver,18.4,L 0 R 0,0,0,1,from,0.045163711,1.535417295,1.664004788
198,1_9.2_1_9.2_0_0,198_1_9.2_1_9.2_0_0,ver,18.4,L 0 R 0,0,0,1,from,0.0682038,1.520241642,2.362192354
199,1_9.2_1_9.2_0_0,199_1_9.2_1_9.2_0_0,ver,18.4,L 0 R 0,0,0,1,from,0.06334172,1.471911688,1.800190551
201,1_9.2_1_9.2_0_0,201_1_9.2_1_9.2_0_0,ver,18.4,L 0 R 0,0,0,1,from,0.05159657,1.530860482,2.058954578
195,1_9.2_1_9.2_0_0.34,195_1_9.2_1_9.2_0_0.34,ver,18.4,L 0 R 0.34,0,0.34,1,from,0.047954115,1.508005605,2.314550367
196,1_9.2_1_9.2_0_0.34,196_1_9.2_1_9.2_0_0.34,ver,18.4,L 0 R 0.34,0,0.34,1,from,0.036842927,1.536607726,2.686586144
197,1_9.2_1_9.2_0_0.34,197_1_9.2_1_9.2_0_0.34,ver,18.4,L 0 R 0.34,0,0.34,1,from,0.013873528,1.538322456,1.57093937
198,1_9.2_1_9.2_0_0.34,198_1_9.2_1_9.2_0_0.34,ver,18.4,L 0 R 0.34,0,0.34,1,from,0.090906115,1.536251043,2.821926043
199,1_9.2_1_9.2_0_0.34,199_1_9.2_1_9.2_0_0.34,ver,18.4,L 0 R 0.34,0,0.34,1,from,0.041383302,1.538674403,1.676221611
201,1_9.2_1_9.2_0_0.34,201_1_9.2_1_9.2_0_0.34,ver,18.4,L 0 R 0.34,0,0.34,1,from,0.035468279,1.532983248,2.585446902
195,1_9.2_1_9.2_0.34_0,195_1_9.2_1_9.2_0.34_0,ver,18.4,L 0.34 R 0,0.34,0,1,from,0.026122437,1.503308816,3.112587761
196,1_9.2_1_9.2_0.34_0,196_1_9.2_1_9.2_0.34_0,ver,18.4,L 0.34 R 0,0.34,0,1,from,0.10329118,1.536496908,1.668647293
197,1_9.2_1_9.2_0.34_0,197_1_9.2_1_9.2_0.34_0,ver,18.4,L 0.34 R 0,0.34,0,1,from,0.078982785,1.532747759,1.565363394
198,1_9.2_1_9.2_0.34_0,198_1_9.2_1_9.2_0.34_0,ver,18.4,L 0.34 R 0,0.34,0,1,from,0.106670064,1.527010836,2.169262527
199,1_9.2_1_9.2_0.34_0,199_1_9.2_1_9.2_0.34_0,ver,18.4,L 0.34 R 0,0.34,0,1,from,0.109872397,1.516701696,1.464284955
201,1_9.2_1_9.2_0.34_0,201_1_9.2_1_9.2_0.34_0,ver,18.4,L 0.34 R 0,0.34,0,1,from,0.09017679,1.533583537,1.737413584
195,1_9.2_1_9.2_-0.34_0,195_1_9.2_1_9.2_-0.34_0,ver,18.4,L -0.34 R 0,-0.34,0,1,to,0.00613676,1.514851752,1.918083795
196,1_9.2_1_9.2_-0.34_0,196_1_9.2_1_9.2_-0.34_0,ver,18.4,L -0.34 R 0,-0.34,0,1,to,0.08054515,1.493517325,2.040007318
197,1_9.2_1_9.2_-0.34_0,197_1_9.2_1_9.2_-0.34_0,ver,18.4,L -0.34 R 0,-0.34,0,1,to,0.044567117,1.529628656,2.138868317
198,1_9.2_1_9.2_-0.34_0,198_1_9.2_1_9.2_-0.34_0,ver,18.4,L -0.34 R 0,-0.34,0,1,to,0.058478119,1.538884865,1.719970623
199,1_9.2_1_9.2_-0.34_0,199_1_9.2_1_9.2_-0.34_0,ver,18.4,L -0.34 R 0,-0.34,0,1,to,0.129220791,1.540737275,0.858827926
201,1_9.2_1_9.2_-0.34_0,201_1_9.2_1_9.2_-0.34_0,ver,18.4,L -0.34 R 0,-0.34,0,1,to,0.096247228,1.531762411,1.456753511
195,1_9.2_1_9.2_0_-0.34,195_1_9.2_1_9.2_0_-0.34,ver,18.4,L 0 R -0.34,0,-0.34,1,to,-0.016678683,1.505373013,2.085221111
196,1_9.2_1_9.2_0_-0.34,196_1_9.2_1_9.2_0_-0.34,ver,18.4,L 0 R -0.34,0,-0.34,1,to,0.030531505,1.480111429,2.60779135
197,1_9.2_1_9.2_0_-0.34,197_1_9.2_1_9.2_0_-0.34,ver,18.4,L 0 R -0.34,0,-0.34,1,to,0.014521592,1.542980204,1.971747976
198,1_9.2_1_9.2_0_-0.34,198_1_9.2_1_9.2_0_-0.34,ver,18.4,L 0 R -0.34,0,-0.34,1,to,-0.045135171,1.53544893,1.494222447
199,1_9.2_1_9.2_0_-0.34,199_1_9.2_1_9.2_0_-0.34,ver,18.4,L 0 R -0.34,0,-0.34,1,to,0.011175743,1.513468753,1.540609545
201,1_9.2_1_9.2_0_-0.34,201_1_9.2_1_9.2_0_-0.34,ver,18.4,L 0 R -0.34,0,-0.34,1,to,-0.044849318,1.534839834,1.617171709
195,1_9.2_1_9.2_0_0,195_1_9.2_1_9.2_0_0,ver,18.4,L 0 R 0,0,0,1,to,-0.039309319,1.520813589,2.003312205
196,1_9.2_1_9.2_0_0,196_1_9.2_1_9.2_0_0,ver,18.4,L 0 R 0,0,0,1,to,0.099751542,1.529785894,1.608685326
197,1_9.2_1_9.2_0_0,197_1_9.2_1_9.2_0_0,ver,18.4,L 0 R 0,0,0,1,to,-0.041624982,1.535553792,1.724854997
198,1_9.2_1_9.2_0_0,198_1_9.2_1_9.2_0_0,ver,18.4,L 0 R 0,0,0,1,to,0.00944926,1.5290625,2.137571655
199,1_9.2_1_9.2_0_0,199_1_9.2_1_9.2_0_0,ver,18.4,L 0 R 0,0,0,1,to,0.008670486,1.52888483,1.715182485
201,1_9.2_1_9.2_0_0,201_1_9.2_1_9.2_0_0,ver,18.4,L 0 R 0,0,0,1,to,-0.062037331,1.520961984,1.718149321
195,1_9.2_1_9.2_0_0.34,195_1_9.2_1_9.2_0_0.34,ver,18.4,L 0 R 0.34,0,0.34,1,to,-0.035335384,1.514036998,2.178134539
196,1_9.2_1_9.2_0_0.34,196_1_9.2_1_9.2_0_0.34,ver,18.4,L 0 R 0.34,0,0.34,1,to,0.019331866,1.469057053,2.52716936
197,1_9.2_1_9.2_0_0.34,197_1_9.2_1_9.2_0_0.34,ver,18.4,L 0 R 0.34,0,0.34,1,to,0.003255476,1.537733169,2.003249925
198,1_9.2_1_9.2_0_0.34,198_1_9.2_1_9.2_0_0.34,ver,18.4,L 0 R 0.34,0,0.34,1,to,0.043269915,1.534898254,1.994685407
199,1_9.2_1_9.2_0_0.34,199_1_9.2_1_9.2_0_0.34,ver,18.4,L 0 R 0.34,0,0.34,1,to,0.017917583,1.549343895,1.568865379
201,1_9.2_1_9.2_0_0.34,201_1_9.2_1_9.2_0_0.34,ver,18.4,L 0 R 0.34,0,0.34,1,to,-0.015194678,1.535877692,1.708252329
195,1_9.2_1_9.2_0.34_0,195_1_9.2_1_9.2_0.34_0,ver,18.4,L 0.34 R 0,0.34,0,1,to,-0.102616108,1.498928123,2.433764029
196,1_9.2_1_9.2_0.34_0,196_1_9.2_1_9.2_0.34_0,ver,18.4,L 0.34 R 0,0.34,0,1,to,0.064817565,1.527996212,1.508459087
197,1_9.2_1_9.2_0.34_0,197_1_9.2_1_9.2_0.34_0,ver,18.4,L 0.34 R 0,0.34,0,1,to,0.098352773,1.538118971,1.453433219
198,1_9.2_1_9.2_0.34_0,198_1_9.2_1_9.2_0.34_0,ver,18.4,L 0.34 R 0,0.34,0,1,to,0.148266205,1.52937053,2.002657545
