birdID,treatmentID,bird.treatment.block,grating.orientation,grating.period,grating.up.down.speed,replicate,to.from.feeder,avg.y.position,avg.z.position,avg.x.velocity
196,0_9.2_0_9.2_-0.34_-0.34,196_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,1,from,0.088122461,1.515165781,1.581184834
197,0_9.2_0_9.2_-0.34_-0.34,197_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,1,from,0.036172509,1.479373233,1.731534625
198,0_9.2_0_9.2_-0.34_-0.34,198_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,1,from,0.107815122,1.523305191,1.561413153
199,0_9.2_0_9.2_-0.34_-0.34,199_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,1,from,0.083667976,1.504963812,1.352490028
201,0_9.2_0_9.2_-0.34_-0.34,201_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,1,from,0.075386187,1.496160929,1.190444248
196,0_9.2_0_9.2_0_0,196_0_9.2_0_9.2_0_0,hor,18.4,0,1,from,0.087231598,1.456744601,1.922463299
197,0_9.2_0_9.2_0_0,197_0_9.2_0_9.2_0_0,hor,18.4,0,1,from,0.003503137,1.522844139,1.646241123
198,0_9.2_0_9.2_0_0,198_0_9.2_0_9.2_0_0,hor,18.4,0,1,from,-0.000904612,1.496719869,1.58616642
199,0_9.2_0_9.2_0_0,199_0_9.2_0_9.2_0_0,hor,18.4,0,1,from,0.026174628,1.466600597,1.478038367
201,0_9.2_0_9.2_0_0,201_0_9.2_0_9.2_0_0,hor,18.4,0,1,from,0.032896947,1.502409688,1.698079344
196,0_9.2_0_9.2_0.34_0.34,196_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,1,from,0.154245408,1.547064433,1.670655846
197,0_9.2_0_9.2_0.34_0.34,197_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,1,from,0.000402583,1.540710344,1.449951257
198,0_9.2_0_9.2_0.34_0.34,198_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,1,from,0.047843112,1.535225855,2.247807302
199,0_9.2_0_9.2_0.34_0.34,199_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,1,from,0.058121904,1.526420463,1.149139096
201,0_9.2_0_9.2_0.34_0.34,201_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,1,from,0.073801696,1.537402398,1.755945267
196,0_9.2_0_9.2_-0.34_-0.34,196_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,1,to,0.027133587,1.478836752,1.125186294
197,0_9.2_0_9.2_-0.34_-0.34,197_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,1,to,-0.01513403,1.418487974,1.89527087
198,0_9.2_0_9.2_-0.34_-0.34,198_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,1,to,0.06081091,1.501526908,1.360407484
199,0_9.2_0_9.2_-0.34_-0.34,199_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,1,to,-0.023785376,1.400576721,1.726310173
201,0_9.2_0_9.2_-0.34_-0.34,201_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,1,to,0.005220085,1.489354107,1.177599629
196,0_9.2_0_9.2_0_0,196_0_9.2_0_9.2_0_0,hor,18.4,0,1,to,-0.022638801,1.444621308,2.119773367
197,0_9.2_0_9.2_0_0,197_0_9.2_0_9.2_0_0,hor,18.4,0,1,to,0.056513448,1.523107512,1.571015303
