birdID,treatmentID,bird.treatment.block,stripe.size,grating.period,left.grating.orientation,replicate,to.from.feeder,avg.y.position,avg.x.velocity,percent.vstripes.fused,top.black.red
178,0_0.29_1_0.29,178_0_0.29_1_0.29,0.29,0.58,hor,1,from,0.093561923,1.535736581,0.978354978,NA
178,0_0.29_1_0.29,178_0_0.29_1_0.29,0.29,0.58,hor,3,from,0.041960307,1.611464798,0.969298246,NA
178,0_0.29_1_0.29,178_0_0.29_1_0.29,0.29,0.58,hor,1,to,-0.072654327,1.227937199,0.925311203,NA
178,0_0.29_1_0.29,178_0_0.29_1_0.29,0.29,0.58,hor,3,to,-0.070835511,1.235522391,0.895833333,NA
178,0_0.29_1_0.29,178_0_0.29_1_0.29,0.29,0.58,hor,2,from,0.024140996,1.566112311,0.995495495,NA
178,0_0.29_1_0.29,178_0_0.29_1_0.29,0.29,0.58,hor,2,to,-0.083795415,1.04134966,0.862453532,NA
178,0_0.29_1_0.29,178_0_0.29_1_0.29,0.29,0.58,hor,4,to,-0.067764308,1.504832835,0.935960591,NA
178,0_0.29_1_0.29,178_0_0.29_1_0.29,0.29,0.58,hor,4,from,0.037617754,1.507373432,0.975409836,NA
178,0_0.29_1_0.29,178_0_0.29_1_0.29,0.29,0.58,hor,5,from,-0.034462176,1.853903126,1,NA
178,0_0.58_1_0.58,178_0_0.58_1_0.58,0.58,1.16,hor,1,from,0.015355387,1.674638892,0.907407407,NA
178,0_0.58_1_0.58,178_0_0.58_1_0.58,0.58,1.16,hor,1,to,-0.080455813,1.279704837,0.789473684,NA
178,0_0.58_1_0.58,178_0_0.58_1_0.58,0.58,1.16,hor,5,from,0.035742709,1.673695805,0.946428571,NA
178,0_0.58_1_0.58,178_0_0.58_1_0.58,0.58,1.16,hor,2,from,0.061941859,1.740995472,0.90430622,NA
178,0_0.58_1_0.58,178_0_0.58_1_0.58,0.58,1.16,hor,4,from,0.025933537,1.64482284,0.925438596,NA
178,0_0.58_1_0.58,178_0_0.58_1_0.58,0.58,1.16,hor,2,to,-0.099846095,1.443526993,0.841860465,NA
178,0_0.58_1_0.58,178_0_0.58_1_0.58,0.58,1.16,hor,4,to,-0.100037688,1.591256239,0.878787879,NA
178,0_0.58_1_0.58,178_0_0.58_1_0.58,0.58,1.16,hor,3,from,0.076433741,1.704520728,0.956140351,NA
178,0_0.58_1_0.58,178_0_0.58_1_0.58,0.58,1.16,hor,3,to,-0.11795187,1.319622065,0.807692308,NA
