birdID,treatmentID,bird.treatment.block,walls.stripe.size,left.grating.orientation,H.grating.period,V.grating.period,replicate,to.from.feeder,avg.y.position,avg.x.velocity,top.black.red
195,0_1.15_1_1.15_0_0,195_0_1.15_1_1.15_0_0,H 1.15 cm V 1.15 cm,hor,2.3,2.3,1,from,-0.045422352,1.593007628,NA
195,0_1.15_1_1.15_0_0,195_0_1.15_1_1.15_0_0,H 1.15 cm V 1.15 cm,hor,2.3,2.3,5,from,-0.132223415,2.007366051,NA
195,0_1.15_1_1.15_0_0,195_0_1.15_1_1.15_0_0,H 1.15 cm V 1.15 cm,hor,2.3,2.3,2,to,-0.105922534,1.839733426,NA
195,0_1.15_1_1.15_0_0,195_0_1.15_1_1.15_0_0,H 1.15 cm V 1.15 cm,hor,2.3,2.3,4,from,-0.073527089,2.388396048,NA
195,0_1.15_1_1.15_0_0,195_0_1.15_1_1.15_0_0,H 1.15 cm V 1.15 cm,hor,2.3,2.3,1,to,-0.101230783,1.627852212,NA
195,0_1.15_1_1.15_0_0,195_0_1.15_1_1.15_0_0,H 1.15 cm V 1.15 cm,hor,2.3,2.3,2,from,-0.082047061,1.523172705,NA
195,0_1.15_1_1.15_0_0,195_0_1.15_1_1.15_0_0,H 1.15 cm V 1.15 cm,hor,2.3,2.3,5,to,-0.157877064,2.279266203,NA
195,0_1.15_1_1.15_0_0,195_0_1.15_1_1.15_0_0,H 1.15 cm V 1.15 cm,hor,2.3,2.3,3,from,-0.02785852,1.925821444,NA
195,0_1.15_1_1.15_0_0,195_0_1.15_1_1.15_0_0,H 1.15 cm V 1.15 cm,hor,2.3,2.3,4,to,-0.149849873,1.961411661,NA
195,0_1.15_1_1.15_0_0,195_0_1.15_1_1.15_0_0,H 1.15 cm V 1.15 cm,hor,2.3,2.3,3,to,-0.103196593,2.118757015,NA
195,0_1.15_1_9.2_0_0,195_0_1.15_1_9.2_0_0,H 1.15 cm V 9.2 cm,hor,2.3,18.4,1,from,-0.144638937,2.178253609,NA
195,0_1.15_1_9.2_0_0,195_0_1.15_1_9.2_0_0,H 1.15 cm V 9.2 cm,hor,2.3,18.4,1,to,-0.137093913,2.243285328,NA
195,0_1.15_1_9.2_0_0,195_0_1.15_1_9.2_0_0,H 1.15 cm V 9.2 cm,hor,2.3,18.4,2,from,-0.148101658,2.23956176,NA
195,0_1.15_1_9.2_0_0,195_0_1.15_1_9.2_0_0,H 1.15 cm V 9.2 cm,hor,2.3,18.4,2,to,-0.163963976,2.578114076,NA
195,0_1.15_1_9.2_0_0,195_0_1.15_1_9.2_0_0,H 1.15 cm V 9.2 cm,hor,2.3,18.4,3,to,-0.12288997,2.28105763,NA
195,0_1.15_1_9.2_0_0,195_0_1.15_1_9.2_0_0,H 1.15 cm V 9.2 cm,hor,2.3,18.4,5,to,-0.091209137,2.30678909,NA
195,0_1.15_1_9.2_0_0,195_0_1.15_1_9.2_0_0,H 1.15 cm V 9.2 cm,hor,2.3,18.4,3,from,-0.11841551,1.997438676,NA
195,0_1.15_1_9.2_0_0,195_0_1.15_1_9.2_0_0,H 1.15 cm V 9.2 cm,hor,2.3,18.4,4,from,-0.096066103,2.31563604,NA
195,0_1.15_1_9.2_0_0,195_0_1.15_1_9.2_0_0,H 1.15 cm V 9.2 cm,hor,2.3,18.4,4,to,-0.101588308,1.982997195,NA
