birdID,treatmentID,bird.treatment.block,left.grating.orientation,L.grating.period,R.grating.period,side.small.period,replicate,to.from.feeder,avg.y.position,avg.x.velocity
195,0_1.15_0_9.2_0_0,195_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,1,from,-0.159923922,1.624543544
196,0_1.15_0_9.2_0_0,196_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,1,from,-0.096478872,1.31089436
197,0_1.15_0_9.2_0_0,197_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,1,from,0.003507939,1.966822672
198,0_1.15_0_9.2_0_0,198_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,1,from,-0.117918093,1.857630048
199,0_1.15_0_9.2_0_0,199_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,1,from,0.018027683,1.798636454
201,0_1.15_0_9.2_0_0,201_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,1,from,-0.039826691,2.29270168
195,0_9.2_0_1.15_0_0,195_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,1,from,-0.017843105,1.939201492
196,0_9.2_0_1.15_0_0,196_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,1,from,0.060362004,2.146948516
197,0_9.2_0_1.15_0_0,197_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,1,from,0.012462254,1.664257159
198,0_9.2_0_1.15_0_0,198_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,1,from,0.025217885,1.845344171
199,0_9.2_0_1.15_0_0,199_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,1,from,0.035938569,1.979072398
201,0_9.2_0_1.15_0_0,201_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,1,from,0.05302931,1.62001806
195,1_1.15_1_9.2_0_0,195_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,1,from,-0.092639104,1.828273857
196,1_1.15_1_9.2_0_0,196_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,1,from,0.046536649,1.553255969
197,1_1.15_1_9.2_0_0,197_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,1,from,0.031004728,1.467004891
198,1_1.15_1_9.2_0_0,198_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,1,from,0.08769059,1.740865278
199,1_1.15_1_9.2_0_0,199_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,1,from,-0.02201054,1.48316794
201,1_1.15_1_9.2_0_0,201_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,1,from,0.065348322,1.449642751
195,1_9.2_1_1.15_0_0,195_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,1,from,0.107868349,2.010503612
196,1_9.2_1_1.15_0_0,196_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,1,from,0.093269546,1.6071365
197,1_9.2_1_1.15_0_0,197_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,1,from,0.10253628,1.448152459
198,1_9.2_1_1.15_0_0,198_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,1,from,0.029066163,1.814584229
199,1_9.2_1_1.15_0_0,199_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,1,from,0.167794363,1.298889818
201,1_9.2_1_1.15_0_0,201_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,1,from,0.076865202,1.799874942
195,0_1.15_0_9.2_0_0,195_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,1,to,-0.118083257,1.770058669
196,0_1.15_0_9.2_0_0,196_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,1,to,-0.084755512,1.759519491
197,0_1.15_0_9.2_0_0,197_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,1,to,-0.049378243,2.260680362
198,0_1.15_0_9.2_0_0,198_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,1,to,-0.114851366,1.85799174
199,0_1.15_0_9.2_0_0,199_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,1,to,-0.035414906,1.812593252
201,0_1.15_0_9.2_0_0,201_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,1,to,-0.087884878,1.467164161
