id,band,year,site,country,elevation,species,sp,clade,color,sex,mass,wing.area,AR,wingload.gcm,total_vel,hor_acel,hor_decel,pitch_up,pitch_down,yaw,arc_radius,arc_avg_vel,arc_force,PRT_degrees,PRT_time,pPRT,ss.V,ss.HA,ss.HD,ss.PU,ss.PD,ss.Y,ss.ARC,ss.PRT
AGLCU001,A33493,2013,Guaytara,Ecuador,3523,Aglaeactis.cupripennis,AGLCU,BRILLIANT,#8A2323,U,7.74,4685.6,7.2,0.165186956,1.909521827,4.694348133,-5.875880851,1.490636605,-1.402228998,2.455728349,0.473396302,1.516627953,5.616737213,110.6162261,0.405714286,0.753846154,613,135,186,216,265,145,16,49
AGLCU002,A33495,2013,Guaytara,Ecuador,3523,Aglaeactis.cupripennis,AGLCU,BRILLIANT,#8A2323,U,7.49,3910.324,6.693,0.19154423,1.967384346,2.903648861,-6.183054616,1.348991298,-1.255835461,2.543379891,0.533188388,1.636559612,5.114018246,149.7894627,0.393571429,0.84,105,23,51,8,35,10,4,21
AGLCU003,A33496,2013,Guaytara,Ecuador,3523,Aglaeactis.cupripennis,AGLCU,BRILLIANT,#8A2323,U,7.53,4058.7005,7.243,0.185527363,1.648405836,3.668981012,-4.601200226,1.265799065,-1.244517682,1.979465653,NA,NA,NA,117.6868683,0.432777778,1,227,54,80,51,72,43,0,45
AGLCU004,A33498,2013,Guaytara,Ecuador,3523,Aglaeactis.cupripennis,AGLCU,BRILLIANT,#8A2323,U,8.32,4279.5415,6.692,0.19441335,1.67299315,5.462933031,-5.340823842,1.241416221,-1.223472479,2.115976096,0.526072551,1.443196306,3.978922924,155.1036212,0.485652174,0.92,271,60,61,96,107,73,2,23
AGLCU005,A33499,2013,Guaytara,Ecuador,3523,Aglaeactis.cupripennis,AGLCU,BRILLIANT,#8A2323,U,7.54,4237.9955,5.6835,0.177914299,1.621662035,3.306387708,-3.849982259,1.338184292,-1.294784998,2.502357937,0.536712359,1.274971945,3.261450293,106.9616324,0.443541667,0.585365854,209,71,85,30,60,37,17,24
AGLCU006,A33500,2013,Guaytara,Ecuador,3523,Aglaeactis.cupripennis,AGLCU,BRILLIANT,#8A2323,U,7.98,4628.36,6.546,0.172415283,1.698661557,3.782307737,-5.017521964,1.452894277,-1.367142264,2.213768355,0.480879889,1.49467145,5.407623735,111.4390012,0.551666667,0.535714286,210,100,112,129,148,98,13,15
AGLCU007,A33406,2013,Guaytara,Ecuador,3523,Aglaeactis.cupripennis,AGLCU,BRILLIANT,#8A2323,U,7.34,4571.1785,7.047,0.160571284,1.528396868,4.368854894,-5.337731584,1.363397262,-1.269699917,2.175495062,0.616780311,1.319445591,3.341896005,97.74805403,0.522777778,0.9,203,72,75,99,123,74,2,18
AGLCU008,A33407,2013,Guaytara,Ecuador,3523,Aglaeactis.cupripennis,AGLCU,BRILLIANT,#8A2323,U,7.39,4297.6425,6.882,0.17195474,1.987816658,3.706580407,-4.574114622,1.391241959,-1.333667614,2.280937159,0.487419283,1.507661781,5.193552229,87.97905485,0.401416667,0.491803279,598,264,242,101,117,91,62,60
AGLCU009,A33409,2013,Guaytara,Ecuador,3523,Aglaeactis.cupripennis,AGLCU,BRILLIANT,#8A2323,U,7.04,4365.159,5.994,0.161277058,1.769897478,5.028136059,-6.602435434,1.403877959,-1.276752202,2.071133021,0.309625184,1.204967408,6.527501782,122.8571646,0.45,0.595505618,449,198,274,150,207,96,36,53
AGLCU010,A33408,2013,Guaytara,Ecuador,3523,Aglaeactis.cupripennis,AGLCU,BRILLIANT,#8A2323,U,7.87,5150.276,7.679,0.152807345,2.011883254,6.682153239,-6.988189491,1.488062249,-1.345477894,2.427589514,0.491772603,1.347663061,4.549592916,135.0467344,0.404761905,0.91875,992,559,488,129,177,134,13,147
AGLCU011,Y76044,2013,Guaytara,Ecuador,3523,Aglaeactis.cupripennis,AGLCU,BRILLIANT,#8A2323,U,6.77,4604.596,6.8265,0.147027014,1.523306594,4.612116202,-6.398441109,1.570311347,-1.45795438,2.504579191,0.309890817,1.157367315,6.326760841,131.3223422,0.385,0.777777778,263,47,101,142,166,160,4,14
AGLCU012,Y76045,2013,Guaytara,Ecuador,3523,Aglaeactis.cupripennis,AGLCU,BRILLIANT,#8A2323,U,7.5,4149.0995,7.4525,0.180762115,1.807112824,6.001290677,-6.913815614,1.35900507,-1.276909544,2.032401483,0.483955718,1.28077607,3.940744225,156.4176562,0.43,0.947976879,768,487,363,99,115,65,9,164
AMAAM001,NA,2012,LaSelva,Costa Rica,60,Amazilia.amabilis,AMAAM,EMERALD,#698A69,M,3.4,1560.364,7.462,0.217897875,1.559851902,5.211775953,-5.247031296,1.356410174,-1.153314023,2.109449358,0.462083573,1.30861479,4.354655754,79.38996022,0.44,0.773333333,245,205,239,181,260,163,17,58
AMALA001,A33233,2010,Cicra,Peru,280,Amazilia.lactea,AMALA,EMERALD,#698A69,M,5.44,1958.399,7.539,0.27777792,1.471176815,4.448310583,-4.353273443,1.228313456,-0.985985328,1.789966823,0.26426237,0.979265659,3.725609207,140.0786905,0.491067335,0.994301994,1344,1338,1378,80,317,104,4,698
AMALA002,A33234,2010,Cicra,Peru,280,Amazilia.lactea,AMALA,EMERALD,#698A69,M,5.33,2204.2415,7.3835,0.241806535,1.339631622,3.632497054,-3.956132719,1.082404039,-1.060050865,1.797691869,0.474437155,1.201297926,3.174876437,81.38143084,0.521463415,0.872340426,119,117,127,290,441,566,6,41
AMATZ001,A33432,2012,LaSelva,Costa Rica,60,Amazilia.tzacatl,AMATZ,EMERALD,#698A69,M,4.9,1913.997,7.425,0.256008761,1.536228458,5.029493646,-5.687573029,1.297799264,-1.222077643,1.907996477,0.47871675,1.405657311,4.506590632,102.5361194,0.48308642,0.931034483,190,164,190,260,393,215,6,81
