tree,species
'Abeillia.abeillei.22002',
'Adelomyia.melanogenys.8025',Adelomyia.melanogenys
'Adelomyia.sp.nov.Valqui.656',
'Aglaeactis.castelnaudii.8215',Aglaeactis.castelnaudii
'Aglaeactis.cupripennis.6304',Aglaeactis.cupripennis
'Aglaeactis.pamela.106743',
'Aglaiocercus.coelestis.7813',
'Agliocercus.kingi.8017',Aglaiocercus.kingi
'Amazilia.amabilis.28483',Amazilia.amabilis
'Amazilia.amazilia.14263',
'Amazilia.berryllina.fmnh394217',
'Amazilia.brevirost.nmnhb11307',
'Amazilia.candida.ku.mbr4474',
'Amazilia.castaneiventris.oc',
'Amazilia.chionogaster.17165',Amazilia.chionogaster
'Amazilia.chionopectus.35896',
'Amazilia.cyanocephala.19260',
'Amazilia.cyanura.Burke.DAB1441',
'Amazilia.decora.B100024',Amazilia.decora
'Amazilia.edward.2303',Amazilia.edward
'Amazilia.fimbriata.5956',
'Amazilia.franciae.12063',
'Amazilia.lactea.9484',Amazilia.lactea
'Amazilia.leucogaster.ansp8392',
'Amazilia.rosenbergi.zmc114807',
'Amazilia.rutila.burkedab1054',
'Amazilia.saucer.hof.fmnh393025',
'Amazilia.saucerottia.JVLP34',Amazilia.saucerrottei
'Amazilia.tobacii.amnh.2796',
'Amazilia.tzacatl.16538',Amazilia.tzacatl
'Amazilia.versicolor.15313',
'Amazilia.vfrons.UNAM.OMVP684',
'Amazilia.violiceps.unam.828',
'Amazilia.viridicauda.8136',
'Amazilia.viridigaster.7490',
'Amazilia.yucatanensis.4090',
'Androdon.aequatorialis.1402',
'Anthoc.floriceps.Juan.i1253',
'Anthrac.dominicus.11318',
'Anthrac.mango.cjc27',
'Anthrac.nigricollis.9552',
'Anthrac.prevostii.nmnhb360',
'Anthrac.veraguensis.nmnhB1347',
'Anthrac.viridigula.fmnh391258',
'Anthrac.viridis.11519',
'Aphantochr.cirrochl.fmnh399167',
'Arch.alexandri.21848',Archilochus.alexandri
'Archilochus.colubris.5270',Archilochus.colubris
'Atthis.heloisa.fmnh343218',
'Avocettula.recurv.fmnh334368',
'Boisson.mathewsii.8130',Boissonneaua.matthewsii
'Boissonn.flavescens.12099',
'Boissonn.jardini.ANSP15805',
'Calliphlox.amet.nmnhb10703',
'Calliphlox.bryantae.28180',
'Calliphlox.evelynae.b58890',
'Calliphlox.mitchellii.12194',
'Calothorax.lucifer.43113',
'Calypte.anna.24864',Calypte.anna
'Calypte.costae.21595',
'Campylopt.duidae.7443',
'Campylopt.excellens.fmnh343205',
'Campylopt.falcatus.IAVHP.77',
'Campylopt.hemileucurus.26474',Campylopterus.hemileucurus
'Campylopt.hyperythrus.fmnh339628',
'Campylopt.largipennis.4474',Campylopterus.largipennis
'Campylopt.rufus.FMNH434025',
'Campylopt.villaviscen.5588',
'Campylopterus.ensipennis.ce115',
'Chaetocercus.bombus.5225',
'Chaetocercus.mulsant.6301',Chaetocercus.mulsant
'chalco.olivaceum.103924',
'Chalco.stanleyi.nk195810',Chalcostigma.stanleyi
'chalcostigma.herrani.6277',
'chalcostigma.ruficeps.1293',Chalcostigma.ruficeps
'Chalybura.buffonii.26911',
'Chalybura.urochrysia.28467',Chalybura.urochrysia
'Chlores.not.cyan.fmnh392810',
'CHLORESTES.NOTATUS.4558',
'Chlorostil.canivetii.burkdab1591',
'Chlorostil.ricordii.ansp5570',
'chlorostil.swains.amnhnkk1017',
'Chlorostilb.assim.b46483',Chlorostilbon.assimilis
'Chlorostilb.aureoventris.18899',
'Chlorostilb.maugaeus.11520',
'Chlorostilb.melanorhynch.6327',
'Chlorostilb.poortmani.Juan.i4198',
'Chlorostilbon.mellisugus.9450',Chlorostilbon.mellisugus
'Chlorostilbon.salvini.JK00_048',
'Chrysolamp.mosquitus.35902',
'Chrysuronia.oenone.5381',Chrysuronia.oenone
'Clytolaema.rubr.fmnh395404',
'Coel.torquata.inca.AMNHDOT2598',
'Coelig.helianthea.Juan.2504',
'Coelig.orina.Juan.i5169',
'Coelig.phalerata.Juan.i485',
'Coelig.prunellei.Juan42',
'Coeligena.bonapartei.IAVHB.4188',
'Coeligena.coeligena.8015',
'Coeligena.iris.31770',
'Coeligena.lutetia.340',
'Coeligena.torquata.6230',
'Coeligena.violifer.8200',Coeligena.violifer
'Coeligena.wilsoni.7858',
'Colibri.coruscans.6310',Colibri.coruscans
'Colibri.delphinae.5403',
'Colibri.serrirostris.14576',
'Colibri.sp.b49711',
'Colibri.thalassinus.28263',Colibri.thalassinus
'Cyanophaia.bicol.stri.docb17',
'Cynanthus.doubledayi.JK04_339',
'Cynanthus.latirostris.33304',Cynanthus.latirostris
'Cynanthus.sordidus.22004',
'Damophila.julie.16556',
'Discosura.conversii.16064',
'Discosura.langsdorfii.9633',
'Discosura.longic.nmnh5265',
'Discosura.popelairii.5950',
'Doricha.eliza.ku4435',
'Doryfera.johannae.1728',
'Doryfera.ludovicae.8000',Doryfera.ludovicae
'Elvira.chionura.26446',Elvira.chionura
'Elvira.cupreiceps.16066',
'Ensifera.ensifera.8224',
'Eriocn.glaucopoides.uwbm77170',
'Eriocnem.cupreioventris.JPLV30',
'Eriocnem.nigrivestis.zmc114629',
'Eriocnemis.alinae.1805',
'Eriocnemis.derbyi.ANSP15698',
'Eriocnemis.luciani.6337',Eriocnemis.luciani
'Eriocnemis.mosquera.6335',
'Eriocnemis.vestitus.324',
'Eugenes.fulgens.9964',Eugenes.fulgens
'Eulampus.holosericeus.nmnh2121',
'Eulampus.jugularis.stridoej413',
'Eulidia.yarrellii_Wouter',
'Eupetomena.macroura.15299',
'Eupherusa.cyanophrys.21997',
'Eupherusa.eximia.21998',Eupherusa.eximia
'Eupherusa.nigriventris.16055',
'Eupherusa.poliocerca.21999',
'Eutoxeres.aquila.2110',Eutoxeres.aquila
'Eutoxeres.condamini.8094',Eutoxeres.condamini
'Florisuga.fusca.16936',
'Florisuga.mellivora.9646',Florisuga.mellivora
'Glaucis.aeneus.nmnhb368',Glaucis.aenea
'Glaucis.hirsuta.28468',Glaucis.hirsuta
'Goethalsia.bella.2111',
'Goldmania.violiceps.28405',
'Haplophaedia.aureliae.32971',Haplophaedia.aureliae
'Haplophaedia.lugens.30032',
'Heliactin.bilopha.14845ak1.c1',
'Heliangelus.amethysticol.6246',Heliangelus.amethysticollis
'Heliangelus.exortis.JVLP40',
'Heliangelus.micraster.ANSP26261',
'Heliangelus.regalis.5532',
'Heliangelus.strophianus.6296',
'Heliangelus.viola.ANSP16990',
'Heliangelus.zusii',
'Heliodoxa.aurescens.6789',Heliodoxa.aurescens
'Heliodoxa.branickii.1996',Heliodoxa.branickii
'Heliodoxa.gularis.5428',
'Heliodoxa.imperatrix.12088',
'Heliodoxa.jacula.11940',Heliodoxa.jacula
'Heliodoxa.leadbeateri.6036',Heliodoxa.leadbeateri
'Heliodoxa.rubinoides.1651',
'heliodoxa.schreibersii.5440',
'Heliodoxa.xanthogonys.7415',
'Heliomaster.constan.burdab1903',
'Heliomaster.furcifer.6709',
'Heliomaster.longirostris.18268',
'Heliomaster.squamos.fmnh392806',
'Heliothryx.aurita.6913',
'Heliothryx.barroti.12039',
'Hylocharis.chrysura.1503',
'Hylocharis.cyanus.rostrata.9547',
'Hylocharis.eliciae.16074',Hylocharis.eliciae
'Hylocharis.grayi.ansp.5064',
'Hylocharis.leucotis.22003',
'Hylocharis.sapphirina.12912',
'Hylocharis.xantusii.3794',
'Klais.guimeti.6168',Klais.guimeti
'Lafresnaya.lafresnayi.32576',Lafresnaya.lafresnayi
'Lamporn.ameth.fmnh.343217',
'Lamporn.castaneovent.28257',
'Lamporn.sybillae.burkedab1362',
'Lampornis.calolaemus.28169',
'Lampornis.cinereicauda.19791',Lampornis.cinereicauda
'Lampornis.clemenciae.10119',Lampornis.clemenciae
'Lampornis.hemileucus.16006',
'Lampornis.viridipallens.19268',
'Lamprolaima.rhami.22001',
'Lepidopyga.coeruleo.29053',
'Lepidopyga.goudoti.jcc',
'Lesbia.nuna.3615',Lesbia.nuna
'Lesbia.victoriae.zmc.113657',Lesbia.victoriae
'Leucippus.baeri.5232',
'Leucippus.chlorocercus.7264',
'Leucippus.fallax.striLFA6',
'Leucippus.taczanowski.33447',
'Leucochloris.albic.fmnh395730',
'Lodiggesia.mirabilis.44698',
'Lophornis.chalybeus.9399',
'Lophornis.delattrei.22644',Lophornis.delattrei
'Lophornis.pavoninus.ku6045',
'Mellisuga.minima.cjc33',
'Metallura.aeneocauda.1236',Metallura.aeneocauda
'Metallura.baroni.zmc113658',
'Metallura.eupogon.8293',
'Metallura.odomae.353',
'Metallura.phoebe.103876',
'Metallura.theresiae.3534',
'Metallura.tyrianthina.6272',Metallura.tyrianthina
'Metallura.williami.5939',
'Microchera.albocor.35764',Microchera.albocoronata
'Microstilbon.burmeist.zmc.114832',
'myrmia.micrura.5233',
'Myrtis.fanny.3592',
'Ocreatus.underwoodii.22594',Ocreatus.underwoodii
'Opisthopr.euryptera.zmc115166',
'Oreonympha.nobilis.fmnh324115',Oreonympha.nobilis
'oreotroch.chimborazo.zmc114549',Oreotrochilus.chimborazo
'oreotroch.estella.103835',Oreotrochilus.estella
'oreotroch.melanogaster.2077',
'Oreotroch.stolzmani.ANSP19518',
'Orthorhyncus.cristatus.11526',
'Oxypogon.guerini.zmc115370',
'panterpe.insignis.16264',Panterpe.insignis
'Patagona.gigas.6303',Patagona.gigas
'Phaeochroa.cuvierii.26913',Phaeochroa.cuvierii
'Phaeth.longirostris.28503',Phaethornis.longirostris
'Phaeth.longuemareus.35952a',Phaethornis.longuemareus
'Phaeth.supercil.b48308',Phaethornis.superciliosus
'Phaethorn.eurynome.fmnh395410',
'Phaethorn.koepckeae.5398',Phaethornis.koepckeae
'Phaethorn.rupurumii.20240',
'Phaethorn.syrmat.12138',
'Phaethornis.anthophilus.umt594',
'Phaethornis.atrimentalis.1969',
'Phaethornis.augusti.um.t604',
'Phaethornis.bourcieri.11017',
'Phaethornis.griseo.5571',
'Phaethornis.guy.35966',Phaethornis.guy
'Phaethornis.hispidus.10629',Phaethornis.hispidus
'Phaethornis.malaris.27511',Phaethornis.malaris
'Phaethornis.mexicanus.JK07_108',
'Phaethornis.nattereri.12859',
'Phaethornis.philippii.8868',
'Phaethornis.pretrei.14702',
'Phaethornis.ruber.9481',Phaethornis.ruber
'Phaethornis.squalidus.iavhb4463',
'Phaethornis.striigularis.b28411',Phaethornis.striigularis
'Phaethornis.subochraceus.6544',
'Phaethornis.yaruqui.7812',
'Phlogophilus.harteri.KU18424',
'Polyonymus.caroli.15503',
'Polytmus.guainumbi.6691',
'Polytmus.milleri.amnh.prs476',
'Polytmus.theresiae.nmnh10307',
'Pterophanes.cyanopterus.1296',
'Ramphodon.naevius.zmc.115250',
'Ramphomicron.microrhyn.8376',
'Rhodopis.vesper.jose2',
'Sappho.sparganura.1195',
'Schistes.geoffroyi.6300',Schistes.geoffroyi
'Selasphorus.ardens.B52913',
'Selasphorus.flammula.28269',Selasphorus.flammula
'Selasphorus.platycercus.23428',Selasphorus.platycercus
'Selasphorus.rufus.MVZ180196',Selasphorus.rufus
'Selasphorus.sasin.33988',
'Selasphorus.scintilla.16266',
'Sephanoides.fernandensis.mr620',
'Sephanoides.sephaniodes.amnh1126',
'Stellula.calliope.B16854',Stellula.calliope
'Stephanoxis.lalandi.25958',
'Taphrolesbia.griseivent.10388',
'Taphrospilus.hypostictus.5465',Taphrospilus.hypostictus
'Thalur.glaucopus.fmnh395402',
'Thalurania.colombica.11793',Thalurania.colombica
'Thalurania.fannyi.11728',
