id,genus,species,COLL,Site,elev,Sex,mass,wing.length,wing.area,AR,lifted.beads,maneuv.id
Aglaeactis.cupripennis_A32545,Aglaeactis,Aglaeactis.cupripennis,DLA,Canchayoc,3649.999996,Female,6.599999901,8.388999934,38.78471228,7.258047381,14.12800024,NA
Aglaeactis.cupripennis_A32548,Aglaeactis,Aglaeactis.cupripennis,DLA,Canchayoc,3649.999996,Female,7.250000007,8.11200028,36.98985339,7.115956671,11.47999955,NA
Aglaeactis.cupripennis_A32549,Aglaeactis,Aglaeactis.cupripennis,DLA,Canchayoc,3649.999996,Female,7.150000102,8.145999911,40.13830974,6.612865856,15.89400003,NA
Aglaeactis.cupripennis_A32551,Aglaeactis,Aglaeactis.cupripennis,DLA,Canchayoc,3649.999996,Female,7.699999802,7.816999821,34.83153613,7.017259982,15.01099971,NA
Aglaeactis.cupripennis_A32600,Aglaeactis,Aglaeactis.cupripennis,DLA,Canchayoc,3649.999996,Male,7.949999805,9.209999847,33.84756127,10.02424919,20.11499977,NA
Aglaeactis.cupripennis_A32603,Aglaeactis,Aglaeactis.cupripennis,DLA,Canchayoc,3649.999996,Male,7,8.091999812,37.39608145,7.003991704,20.11499976,NA
Aglaeactis.cupripennis_A32740,Aglaeactis,Aglaeactis.cupripennis,DLA,Pillahuata,2650,Female,6.37,7.98,36.68428,6.944,9.08,NA
Aglaeactis.cupripennis_A32755,Aglaeactis,Aglaeactis.cupripennis,DLA,Pillahuata,2650,Female,7.150000102,8.180000308,40.15407178,6.665566107,13.49499989,NA
Aglaeactis.cupripennis_A32897,Aglaeactis,Aglaeactis.cupripennis,DLA,Pillahuata,2650,Male,7.050000195,8.968000029,47.07091473,6.834371086,14.37800026,NA
Aglaeactis.cupripennis_A32898,Aglaeactis,Aglaeactis.cupripennis,DLA,Pillahuata,2650,Male,7.45,8.955,40.83706,7.855,17.03,NA
Aglaeactis.cupripennis_A32906,Aglaeactis,Aglaeactis.cupripennis,DLA,Pillahuata,2650,Male,7,9.180999759,45.30637945,7.441844396,16.13999938,NA
Aglaeactis.cupripennis_A32911,Aglaeactis,Aglaeactis.cupripennis,DLA,Pillahuata,2650,Male,6.940000057,9.165000163,45.78893917,7.337774514,13.49499989,NA
Aglaeactis.cupripennis_A32914,Aglaeactis,Aglaeactis.cupripennis,DLA,Pillahuata,2650,Male,6.440000054,8.75,43.04394145,7.114822421,15.63000014,NA
Aglaeactis.cupripennis_A32915,Aglaeactis,Aglaeactis.cupripennis,DLA,Pillahuata,2650,Male,7.09000016,8.972000126,45.86924957,7.019673263,14.38000011,NA
Aglaeactis.cupripennis_A32920,Aglaeactis,Aglaeactis.cupripennis,DLA,Pillahuata,2650,Male,7.050000195,9.158999641,45.25711327,7.414284129,15.26099969,NA
Aglaeactis.cupripennis_E00067,Aglaeactis,Aglaeactis.cupripennis,DLA,Cusco,3417.999997,Female,6.699999804,8.118000038,36.29222661,7.263475484,14.23999979,NA
Aglaeactis.cupripennis_E00079,Aglaeactis,Aglaeactis.cupripennis,DLA,Cachimayo,3665,Male,7.19999981,7.969999699,38.96120694,6.521450452,17.79999923,NA
Amazilia.amabilis_A33009,Amazilia,Amazilia.amabilis,DLA,La Selva,39.99999997,Male,4.785999777,5.643000035,17.13167903,7.434986221,7.047199982,NA
Amazilia.amabilis_A33012,Amazilia,Amazilia.amabilis,DLA,La Selva,40,Male,4.01,5.308,14.44906,7.8,10.04,NA
Amazilia.amabilis_A33045,Amazilia,Amazilia.amabilis,DLA,La Selva,39.99999997,Male,3.911999945,5.470000071,14.93799501,8.012025927,8.785000009,NA
Amazilia.lactea_A33233,Amazilia,Amazilia.lactea,PSS,Peru,280,Male,4.99,6.0738,19.58399,7.539,14.09,AMALA001
Amazilia.lactea_A33234,Amazilia,Amazilia.lactea,PSS,Peru,280,Male,5.14,6.3714,22.04242,7.384,11.24,AMALA002
Amazilia.tzacatl_A32939,Amazilia,Amazilia.tzacatl,DLA,La Selva,40,Female,5.43,5.7894,19.02179,7.048,7.05,NA
Amazilia.tzacatl_A32994,Amazilia,Amazilia.tzacatl,DLA,La Selva,39.99999997,Male,5.933000091,5.939400005,19.21291799,7.344323716,8.809000015,NA
Amazilia.tzacatl_A32999,Amazilia,Amazilia.tzacatl,DLA,La Selva,40,Female,5.84,5.0519,15.81866,6.454,7.93,NA
Amazilia.tzacatl_A33000,Amazilia,Amazilia.tzacatl,DLA,La Selva,39.99999997,Female,5.906000141,6.190999986,20.45035465,7.496883344,16.31499999,NA
Amazilia.tzacatl_A33003,Amazilia,Amazilia.tzacatl,DLA,La Selva,39.99999997,Female,5.104000097,6.197000126,20.30393718,7.56558892,11.29499998,NA
Amazilia.tzacatl_A33007,Amazilia,Amazilia.tzacatl,DLA,La Selva,40,Male,5.59,NA,NA,NA,11.3,NA
Amazilia.tzacatl_A33008,Amazilia,Amazilia.tzacatl,DLA,La Selva,39.99999997,Female,5.168000226,5.611000056,17.98426838,7.002413665,5.28539999,NA
Amazilia.tzacatl_A33013,Amazilia,Amazilia.tzacatl,DLA,La Selva,40,Female,4.55,6.148,18.94011,7.983,7.05,NA
Amazilia.tzacatl_A33018,Amazilia,Amazilia.tzacatl,DLA,La Selva,39.99999997,Female,4.730000014,5.943999867,18.99136659,7.441514906,7.928100006,NA
Amazilia.tzacatl_A33023,Amazilia,Amazilia.tzacatl,DLA,La Selva,40,Female,4.78,5.625,18.40686,6.876,7.05,NA
Amazilia.tzacatl_A33030,Amazilia,Amazilia.tzacatl,DLA,La Selva,39.99999997,Male,5.841000077,6.152000045,19.68981207,7.688667517,12.54999999,NA
Amazilia.tzacatl_A33033,Amazilia,Amazilia.tzacatl,DLA,La Selva,39.99999997,Female,4.416999814,6.191999819,19.31403362,7.940518794,7.487650006,NA
Amazilia.tzacatl_A33041,Amazilia,Amazilia.tzacatl,DLA,La Selva,40,Female,4.85,5.772,17.85107,7.465,7.93,NA
Amazilia.tzacatl_A33060,Amazilia,Amazilia.tzacatl,DLA,La Selva,39.99999997,Male,5.557000156,5.613000101,16.66202831,7.56348979,11.29500002,NA
Amazilia.tzacatl_A33062,Amazilia,Amazilia.tzacatl,DLA,La Selva,39.99999997,Male,5.434999945,6.109000012,20.18891316,7.394133765,11.29499998,NA
Amazilia.tzacatl_A33063,Amazilia,Amazilia.tzacatl,DLA,San Luis,1100,Male,5.747000223,6.066999819,19.57802028,7.520369528,13.80499998,NA
Amazilia.tzacatl_A33065,Amazilia,Amazilia.tzacatl,DLA,San Luis,1100,Male,5.56,NA,NA,NA,12.55,NA
Amazilia.tzacatl_A33068,Amazilia,Amazilia.tzacatl,DLA,San Luis,1100,Male,5.879000187,5.941999816,19.22539148,7.345985521,11.29499999,NA
Amazilia.tzacatl_A33075,Amazilia,Amazilia.tzacatl,DLA,San Luis,1100,Male,5.684999947,5.552000045,16.75054832,7.360882513,11.29499998,NA
Amazilia.tzacatl_A33078,Amazilia,Amazilia.tzacatl,DLA,San Luis,1100,Female,5.48500014,5.716999813,18.95859224,6.895888996,10.03999997,NA
Amazilia.tzacatl_A33080,Amazilia,Amazilia.tzacatl,DLA,San Luis,1100,Female,5.137000086,5.697000125,18.89056328,6.872385946,8.784999996,NA
Amazilia.tzacatl_A33082,Amazilia,Amazilia.tzacatl,DLA,San Luis,1100,Male,5.368000035,5.999999995,19.35098668,7.441481013,13.805,NA
Amazilia.tzacatl_A33087,Amazilia,Amazilia.tzacatl,DLA,San Luis,1100,Female,4.861999994,6.011000056,21.5042381,6.720930369,8.808999996,NA
Amazilia.tzacatl_A33088,Amazilia,Amazilia.tzacatl,DLA,San Luis,1100,Female,5.203000073,5.756999967,19.22889186,6.894427182,8.809000003,NA
Amazilia.tzacatl_A33092,Amazilia,Amazilia.tzacatl,DLA,Las Cruces,1200,Male,5.55499983,6.441999815,22.64281103,7.331132452,12.16350001,NA
Colibri.thalassinus_A33157,Colibri,Colibri.thalassinus,DLA,Cerro,3100.000001,Unknown,4.465000152,6.20999984,22.92120414,6.729855525,7.047200009,NA
Colibri.thalassinus_A33170,Colibri,Colibri.thalassinus,DLA,Cerro,3100.000001,Female,5.19799995,6.683999627,25.72742288,6.946028181,12.80399999,NA
Colibri.thalassinus_A33174,Colibri,Colibri.thalassinus,DLA,Cerro,3100,Female,6.05,7.009,27.57732,7.126,12.8,NA
Colibri.thalassinus_A33175,Colibri,Colibri.thalassinus,DLA,Cerro,3100.000001,Male,6.367000105,7.416999812,29.47558851,7.465416512,14.93800002,NA
Colibri.thalassinus_A33187,Colibri,Colibri.thalassinus,DLA,Cerro,2600,Female,5.803999896,6.876000221,26.11919947,7.240555603,13.87100001,NA
Eriocnemis.luciani_A32592,Eriocnemis,Eriocnemis.luciani,DLA,Canchayoc,3649.999996,Female,6.400000089,6.336999896,25.60139917,6.274277025,6.599999902,NA
Eriocnemis.luciani_A32596,Eriocnemis,Eriocnemis.luciani,DLA,Canchayoc,3649.999996,Male,6.650000103,6.794000242,28.49364775,6.479821716,15.01099968,NA
Eriocnemis.luciani_A32597,Eriocnemis,Eriocnemis.luciani,DLA,Canchayoc,3649.999996,Male,7.050000195,6.78099976,28.14814036,6.534280008,12.36200045,NA
Eriocnemis.luciani_A32598,Eriocnemis,Eriocnemis.luciani,DLA,Canchayoc,3649.999996,Male,6.800000192,7.025000007,29.65609601,6.656388613,10.6000004,NA
Eriocnemis.luciani_A32604,Eriocnemis,Eriocnemis.luciani,DLA,Canchayoc,3649.999996,Male,7.599999908,7.337999723,28.08991836,7.667696192,8.829999925,NA
Eriocnemis.luciani_A32621,Eriocnemis,Eriocnemis.luciani,DLA,Canchayoc,3649.999996,Male,6.849999898,7.637000271,31.18729132,7.480453834,12.36200046,NA
Eriocnemis.luciani_USER42,Eriocnemis,Eriocnemis.luciani,PSS,Ecu,3523,Male,5.13,7.0922,30.74036,6.547,5.92,NA
Eugenes.fulgens_A33355,Eugenes,Eugenes.fulgens,DLA,Cerro,3100.000001,Female,8.44400024,7.81399993,32.58386667,7.495561606,12.80400002,NA
Eugenes.fulgens_A33356,Eugenes,Eugenes.fulgens,DLA,Cerro,3100.000001,Female,8.569999686,7.351000207,30.28369078,7.137466108,12.80400002,NA
Eugenes.fulgens_A33357,Eugenes,Eugenes.fulgens,DLA,Cerro,3100.000001,Male,9.484999667,8.262999719,36.89100554,7.403123169,21.62399998,NA
Eugenes.fulgens_A33358,Eugenes,Eugenes.fulgens,DLA,Cerro,3100.000001,Male,8.704999931,8.065000154,35.32196306,7.3658678,18.139,NA
Eugenes.fulgens_A33359,Eugenes,Eugenes.fulgens,DLA,Cerro,3100.000001,Male,9.260999676,8.109999847,36.18753316,7.270138844,21.62399999,NA
Eugenes.fulgens_A33360,Eugenes,Eugenes.fulgens,DLA,Cerro,3100.000001,Male,10.03299999,7.980000306,34.54054979,7.374567617,20.27250003,NA
Eugenes.fulgens_PCHAI-MAG_1M,Eugenes,Eugenes.fulgens,PCHAI,SWRS,1675.999999,Male,7.446666666,7.640000007,29.68000003,7.866522913,14.20000002,NA
Eugenes.fulgens_PCHAI-MAG_2M,Eugenes,Eugenes.fulgens,PCHAI,SWRS,1675.999999,Male,7.356666659,7.740000006,27.64000002,8.669696093,16.20000003,NA
Eugenes.fulgens_PCHAI-MAG_3M,Eugenes,Eugenes.fulgens,PCHAI,SWRS,1675.999999,Male,7.656666658,8.199999993,31.31999997,8.587484042,16.20000004,NA
Eugenes.fulgens_A33361,Eugenes,Eugenes.fulgens,PSS,Cerro,3100,Female,10.64,7.68,32.53074,7.253,13.52,NA
Florisuga.mellivora_A32644,Florisuga,Florisuga.mellivora,DLA,Amazonia,499.9999996,Male,7.769999986,7.524999995,27.18090077,8.333149149,17.90999987,NA
