"","species","id","band","year","site","country","elevation","sp","clade","color","sex","mass","wing.area","AR","wingload.gcm","total_vel","hor_acel","hor_decel","pitch_up","pitch_down","yaw","arc_radius","arc_avg_vel","arc_force","PRT_degrees","PRT_time","pPRT","ss.V","ss.HA","ss.HD","ss.PU","ss.PD","ss.Y","ss.ARC","ss.PRT","sp.mass","sp.wing.area","sp.AR","sp.wing.load","sp.muscle","sp.mass.STD","sp.wing.area.STD","sp.AR.STD","sp.wing.load.STD","sp.muscle.STD","rel.mass","rel.wing.area","rel.AR","rel.wingload.gcm","hi.elev","total_vel.STD","hor_acel.STD","hor_decel.STD","pitch_up.STD","pitch_down.STD","yaw.STD","arc_radius.STD","arc_avg_vel.STD","arc_force.STD","PRT_degrees.STD","PRT_time.STD","pPRT.STD","ss.V.STD","ss.HA.STD","ss.HD.STD","ss.PU.STD","ss.PD.STD","ss.Y.STD","ss.ARC.STD","ss.PRT.STD","rel.mass.STD","rel.wing.area.STD","rel.AR.STD","rel.wingload.gcm.STD"
"1","Aglaeactis.cupripennis","AGLCU001","A33493",2013,"Guaytara","Ecuador",3523,"AGLCU","BRILLIANT","#8A2323","U",7.74,4685.6,7.2,0.165186956,1.909521827,4.694348133,-5.875880851,1.490636605,-1.402228998,2.455728349,0.473396302,1.516627953,5.616737213,110.6162261,0.405714286,0.753846154,613,135,186,216,265,145,16,49,7.06411764670588,40.4266727782353,7.26144897858824,0.176869738932475,3.46466221669777,0.905366411616482,2.35516699124643,0.187092801800812,-2.2222184975619,1.30516882644652,0.675882353294118,4645.17332722177,-0.0614489785882348,-0.0116827829324753,TRUE,0.637623035795336,0.124177541434546,-0.739989532514233,1.57851480240815,-2.17751804041589,2.4860943447545,0.139818781440131,0.779400755847976,0.90137816362209,0.228704111531316,-0.865233107971187,0.237342211737886,0.620473251429796,-0.690652913341312,-0.518510220863286,1.1492471194596,0.486843565235501,0.239074082890822,-0.479080818712973,-0.480032648284499,0.84170705825508,2.51535806938283,-0.390932278232091,-0.578753425309381
"2","Aglaeactis.cupripennis","AGLCU002","A33495",2013,"Guaytara","Ecuador",3523,"AGLCU","BRILLIANT","#8A2323","U",7.49,3910.324,6.693,0.19154423,1.967384346,2.903648861,-6.183054616,1.348991298,-1.255835461,2.543379891,0.533188388,1.636559612,5.114018246,149.7894627,0.393571429,0.84,105,23,51,8,35,10,4,21,7.06411764670588,40.4266727782353,7.26144897858824,0.176869738932475,3.46466221669777,0.905366411616482,2.35516699124643,0.187092801800812,-2.2222184975619,1.30516882644652,0.425882353294118,3869.89732722176,-0.568448978588235,0.0146744910675247,TRUE,0.834840143618338,-1.4573883513235,-1.00150620238671,0.807636684578255,-1.23267261454915,2.83783933729787,0.548821211440602,1.25554276129194,0.436549171714524,1.56597495889878,-1.06266216218394,0.674559103999153,-1.1459051455422,-1.14100018216159,-1.04424470517171,-0.927297593933854,-0.980715136857839,-1.08650632313775,-0.677751395287768,-0.780656011813073,0.439716031941232,1.69014936122797,-1.46566892634976,0.00659937178265633
"3","Aglaeactis.cupripennis","AGLCU003","A33496",2013,"Guaytara","Ecuador",3523,"AGLCU","BRILLIANT","#8A2323","U",7.53,4058.7005,7.243,0.185527363,1.648405836,3.668981012,-4.601200226,1.265799065,-1.244517682,1.979465653,NA,NA,NA,117.6868683,0.432777778,1,227,54,80,51,72,43,0,45,7.06411764670588,40.4266727782353,7.26144897858824,0.176869738932475,3.46466221669777,0.905366411616482,2.35516699124643,0.187092801800812,-2.2222184975619,1.30516882644652,0.465882353294118,4018.27382722176,-0.0184489785882347,0.00865762406752468,TRUE,-0.252357930144934,-0.781438321310447,0.345227599231934,0.354878500411194,-1.15962600376113,0.57485565310424,NA,NA,NA,0.470077163821463,-0.425211486267635,1.48653333393432,-0.721696160442627,-1.01635049168455,-0.931309149283235,-0.498011907991938,-0.744629606521084,-0.762475557219657,-0.7439749208127,-0.522978843074295,0.504034596151448,1.84808225207657,-0.299781043776351,-0.127025597483163
"4","Aglaeactis.cupripennis","AGLCU004","A33498",2013,"Guaytara","Ecuador",3523,"AGLCU","BRILLIANT","#8A2323","U",8.32,4279.5415,6.692,0.19441335,1.67299315,5.462933031,-5.340823842,1.241416221,-1.223472479,2.115976096,0.526072551,1.443196306,3.978922924,155.1036212,0.485652174,0.92,271,60,61,96,107,73,2,23,7.06411764670588,40.4266727782353,7.26144897858824,0.176869738932475,3.46466221669777,0.905366411616482,2.35516699124643,0.187092801800812,-2.2222184975619,1.30516882644652,1.25588235329412,4239.11482722177,-0.569448978588235,0.0175436110675247,TRUE,-0.1685551673199,0.803000434464527,-0.28446128391654,0.222179427719291,-1.02379716733519,1.12267105554323,0.500145963273357,0.487868962181777,-0.61299391076132,1.74738629625914,0.434466099851547,1.08054621896673,-0.568702755980486,-0.992224745140606,-1.00530141003775,-0.0487594459596988,-0.521305456202532,-0.467902133657752,-0.710863158050234,-0.759182914418175,1.77432623930321,2.08314681787975,-1.4677887224999,0.0703179269410049
"5","Aglaeactis.cupripennis","AGLCU005","A33499",2013,"Guaytara","Ecuador",3523,"AGLCU","BRILLIANT","#8A2323","U",7.54,4237.9955,5.6835,0.177914299,1.621662035,3.306387708,-3.849982259,1.338184292,-1.294784998,2.502357937,0.536712359,1.274971945,3.261450293,106.9616324,0.443541667,0.585365854,209,71,85,30,60,37,17,24,7.06411764670588,40.4266727782353,7.26144897858824,0.176869738932475,3.46466221669777,0.905366411616482,2.35516699124643,0.187092801800812,-2.2222184975619,1.30516882644652,0.475882353294118,4197.56882722176,-1.57794897858823,0.00104456006752468,TRUE,-0.343510807284865,-1.10168483702403,0.98478749484416,0.748821573643049,-1.48405865677639,2.6732185379987,0.572926620679062,-0.180000433430174,-1.27639056312793,0.10394593380181,-0.250202884509332,-0.617668174835522,-0.784284371358958,-0.947994209810043,-0.911837501716256,-0.707663056940316,-0.821197886630302,-0.821390241932038,-0.46252493733174,-0.748446365720726,0.520114237204002,2.03892499108645,-3.6056031399095,-0.296099542946593
"6","Aglaeactis.cupripennis","AGLCU006","A33500",2013,"Guaytara","Ecuador",3523,"AGLCU","BRILLIANT","#8A2323","U",7.98,4628.36,6.546,0.172415283,1.698661557,3.782307737,-5.017521964,1.452894277,-1.367142264,2.213768355,0.480879889,1.49467145,5.407623735,111.4390012,0.551666667,0.535714286,210,100,112,129,148,98,13,15,7.06411764670588,40.4266727782353,7.26144897858824,0.176869738932475,3.46466221669777,0.905366411616482,2.35516699124643,0.187092801800812,-2.2222184975619,1.30516882644652,0.915882353294118,4587.93332722176,-0.715448978588235,-0.00445445593247532,TRUE,-0.0810676351755816,-0.68134687334901,-0.00921372005613452,1.37310923418019,-1.95106309706342,1.51511067072712,0.191009590673981,0.692231000521267,0.708025587821971,0.256791480629887,1.50778672919966,-0.86964188540973,-0.780807248530273,-0.831386434847649,-0.806690604854571,0.28069235953061,-0.259697165829372,-0.222424280689497,-0.528748462856672,-0.845075303997767,1.22761844351637,2.45443144911497,-1.77727896041938,-0.418223871769591
"7","Aglaeactis.cupripennis","AGLCU007","A33406",2013,"Guaytara","Ecuador",3523,"AGLCU","BRILLIANT","#8A2323","U",7.34,4571.1785,7.047,0.160571284,1.528396868,4.368854894,-5.337731584,1.363397262,-1.269699917,2.175495062,0.616780311,1.319445591,3.341896005,97.74805403,0.522777778,0.9,203,72,75,99,123,74,2,18,7.06411764670588,40.4266727782353,7.26144897858824,0.176869738932475,3.46466221669777,0.905366411616482,2.35516699124643,0.187092801800812,-2.2222184975619,1.30516882644652,0.275882353294118,4530.75182722176,-0.214448978588235,-0.0162984549324753,TRUE,-0.661393381605028,-0.163301776380099,-0.281828646931586,0.88603845198623,-1.32215585337363,1.36152022777866,1.12062430316435,-0.00343511971392925,-1.2020080518903,-0.210581300185702,1.03808622687743,0.979049440224839,-0.805147108331068,-0.943973252052719,-0.950780796850214,-0.0188092818242162,-0.419214416056909,-0.458083019539021,-0.710863158050234,-0.81286565790542,0.198521416152923,2.3935670966194,-0.715261089202513,-0.681260100152135
"8","Aglaeactis.cupripennis","AGLCU008","A33407",2013,"Guaytara","Ecuador",3523,"AGLCU","BRILLIANT","#8A2323","U",7.39,4297.6425,6.882,0.17195474,1.987816658,3.706580407,-4.574114622,1.391241959,-1.333667614,2.280937159,0.487419283,1.507661781,5.193552229,87.97905485,0.401416667,0.491803279,598,264,242,101,117,91,62,60,7.06411764670588,40.4266727782353,7.26144897858824,0.176869738932475,3.46466221669777,0.905366411616482,2.35516699124643,0.187092801800812,-2.2222184975619,1.30516882644652,0.325882353294118,4257.21582722176,-0.379448978588235,-0.00491499893247532,TRUE,0.904481105477901,-0.74823010949612,0.368287306038486,1.03757801280559,-1.73501278102392,1.78465858651995,0.235741731926428,0.743804057254525,0.510088671051305,-0.544069133850451,-0.935107508578617,-1.09248317350037,0.568316408999521,-0.171949362646528,-0.300427768113124,0.00115749426610554,-0.457498556111518,-0.291158079520608,0.282489724823743,-0.361930612612559,0.278919621415693,2.10241363747214,-1.06502745397454,-0.42845179341396
"9","Aglaeactis.cupripennis","AGLCU009","A33409",2013,"Guaytara","Ecuador",3523,"AGLCU","BRILLIANT","#8A2323","U",7.04,4365.159,5.994,0.161277058,1.769897478,5.028136059,-6.602435434,1.403877959,-1.276752202,2.071133021,0.309625184,1.204967408,6.527501782,122.8571646,0.45,0.595505618,449,198,274,150,207,96,36,53,7.06411764670588,40.4266727782353,7.26144897858824,0.176869738932475,3.46466221669777,0.905366411616482,2.35516699124643,0.187092801800812,-2.2222184975619,1.30516882644652,-0.0241176467058821,4324.73232722176,-1.26744897858824,-0.0155926809324753,TRUE,0.161731028891012,0.418982820819306,-1.35855191210661,1.10634708184999,-1.36767233832718,0.942716125811392,-0.980442940585991,-0.457926219792856,1.74349832272362,0.646577425590537,-0.145197729957895,-0.56621050567537,0.0502251075254506,-0.437332574629906,-0.17580922368446,0.490343508478988,0.116763544707615,-0.242062508926957,-0.147963191088314,-0.437086453494702,-0.283867815423693,2.1742786297383,-2.94740643529306,-0.665585991175052
"10","Aglaeactis.cupripennis","AGLCU010","A33408",2013,"Guaytara","Ecuador",3523,"AGLCU","BRILLIANT","#8A2323","U",7.87,5150.276,7.679,0.152807345,2.011883254,6.682153239,-6.988189491,1.488062249,-1.345477894,2.427589514,0.491772603,1.347663061,4.549592916,135.0467344,0.404761905,0.91875,992,559,488,129,177,134,13,147,7.06411764670588,40.4266727782353,7.26144897858824,0.176869738932475,3.46466221669777,0.905366411616482,2.35516699124643,0.187092801800812,-2.2222184975619,1.30516882644652,0.805882353294118,5109.84932722176,0.417551021411765,-0.0240623939324753,TRUE,0.986509066588004,1.87982954077254,-1.68696900975959,1.56450435088006,-1.81123806572488,2.37317340712565,0.265520229009966,0.108591369925097,-0.0853353688999823,1.06269714788815,-0.880717740630551,1.07420267029537,1.93830280350142,1.01423317576403,0.65757729218223,0.28069235953061,-0.0746571555654289,0.13106382758479,-0.528748462856672,0.572149124065511,1.05074239193828,3.00996216091999,0.624450077681844,-0.853684737468648
