180,0.032,18.726,18.726,18.726,11.236,22.471,26.217,14.981,18.726,11.236,29.962,14.981,33.707,22.471,3.7452,7.4905,14.981,37.452,22.471,26.217,26.217
NaN,NaN,22.705,30.273,7.5683,11.352,18.921,18.921,7.5683,11.352,7.5683,15.137,18.921,15.137,15.137,49.194,22.705,11.352,18.921,11.352,30.273,18.921
360,12.6,11.266,11.266,26.288,15.021,26.288,11.266,7.5107,22.532,7.5107,11.266,11.266,3.7554,26.288,15.021,11.266,30.043,22.532,18.777,7.5107,30.043
NaN,NaN,30.197,30.197,3.7747,11.324,15.099,22.648,22.648,18.873,18.873,18.873,11.324,15.099,33.972,22.648,26.423,7.5493,26.423,18.873,11.324,15.099
360,0.063,15.039,15.039,18.799,7.5197,11.28,3.7598,15.039,11.28,15.039,11.28,22.559,11.28,15.039,3.7598,11.28,22.559,15.039,11.28,30.079,11.28
NaN,NaN,0,18.824,18.824,22.589,11.295,18.824,11.295,11.295,18.824,18.824,7.5297,15.059,15.059,11.295,15.059,11.295,15.059,15.059,15.059,26.354
180,9.41,27.17,46.578,50.459,19.407,27.17,31.052,54.341,46.578,31.052,31.052,19.407,34.933,54.341,27.17,15.526,15.526,27.17,27.17,38.815,27.17
NaN,NaN,14.903,22.355,11.177,26.081,29.806,18.629,22.355,22.355,22.355,7.4516,14.903,14.903,22.355,37.258,14.903,14.903,14.903,18.629,26.081,18.629
360,6.7,18.948,3.7896,11.369,3.7896,3.7896,26.527,22.738,7.5793,26.527,7.5793,15.159,15.159,11.369,7.5793,7.5793,15.159,7.5793,22.738,15.159,7.5793
NaN,NaN,34.016,30.237,11.339,34.016,30.237,30.237,15.118,22.678,30.237,22.678,22.678,15.118,18.898,30.237,15.118,26.457,26.457,22.678,26.457,22.678
180,0.13,3.8607,34.746,23.164,30.886,19.303,27.025,27.025,23.164,23.164,34.746,11.582,27.025,46.328,42.468,11.582,19.303,19.303,30.886,15.443,27.025
NaN,NaN,22.619,41.467,45.237,26.388,30.158,37.698,22.619,33.928,33.928,37.698,15.079,30.158,22.619,37.698,15.079,33.928,41.467,30.158,15.079,56.546
360,4.32,11.28,11.28,15.039,18.799,30.079,22.559,11.28,26.319,18.799,22.559,30.079,18.799,26.319,30.079,15.039,22.559,30.079,18.799,45.118,18.799
NaN,NaN,26.319,22.559,52.638,18.799,26.319,22.559,41.359,22.559,52.638,22.559,22.559,52.638,41.359,33.839,30.079,37.599,26.319,41.359,30.079,18.799
180,0.26,35.075,27.281,38.972,11.692,38.972,31.178,19.486,35.075,35.075,27.281,35.075,31.178,42.87,38.972,27.281,11.692,31.178,31.178,35.075,23.383
NaN,NaN,11.192,48.499,26.115,37.307,37.307,33.576,37.307,26.115,29.845,33.576,22.384,33.576,48.499,22.384,33.576,37.307,22.384,29.845,11.192,26.115
360,3.2,7.7629,23.289,15.526,19.407,11.644,23.289,31.052,34.933,23.289,27.17,23.289,27.17,34.933,11.644,15.526,15.526,23.289,27.17,27.17,23.289
NaN,NaN,26.354,30.119,37.648,37.648,30.119,30.119,30.119,30.119,45.178,26.354,26.354,30.119,26.354,15.059,22.589,30.119,33.883,26.354,18.824,30.119
180,0.53,15.652,27.391,31.304,19.565,19.565,43.043,15.652,19.565,19.565,27.391,19.565,23.478,23.478,31.304,31.304,23.478,50.869,7.826,23.478,23.478
NaN,NaN,49.008,18.849,15.079,18.849,18.849,22.619,18.849,26.389,22.619,11.31,11.31,49.008,22.619,22.619,22.619,7.5397,26.389,30.159,30.159,18.849
180,1.05,22.559,45.118,18.799,26.319,37.599,26.319,33.839,33.839,18.799,41.359,15.039,18.799,15.039,22.559,37.599,22.559,18.799,15.039,18.799,26.319
NaN,NaN,34.061,3.7845,26.492,30.276,26.492,22.707,26.492,30.276,7.5691,26.492,34.061,22.707,26.492,30.276,7.5691,34.061,22.707,11.354,37.845,26.492
360,2.12,7.7422,7.7422,15.484,3.8711,15.484,38.711,11.613,19.356,19.356,30.969,7.7422,27.098,23.227,30.969,15.484,23.227,11.613,19.356,11.613,23.227
NaN,NaN,45.415,34.061,30.276,22.707,18.923,41.63,18.923,37.846,18.923,34.061,34.061,26.492,30.276,18.923,30.276,22.707,30.276,11.354,34.061,22.707
360,6.7,15.04,22.559,18.799,15.04,26.319,22.559,11.28,22.559,18.799,22.559,15.04,11.28,26.319,37.599,26.319,22.559,18.799,30.079,30.079,7.5198
